name,vertices,faces,min_angle_deg,avg_min_angle_deg,max_angle_deg,avg_aspect_ratio,low_aspect_count,needle_like_count,cap_like_count,near_zero_area_count,bad_triangle_count
car1.off,48798,97536,0.725576,27.036833,177.288662,0.452941,118,1400,2,0,1400
car2.off,78708,157424,0.222889,23.265048,175.630927,0.398414,3122,11100,1,0,11100
car3.off,93450,186896,0.488342,21.931302,178.207672,0.373756,15418,23495,13,0,23495
car4.off,14317,28630,0.593133,18.761464,174.544086,0.317511,1612,4787,0,0,4787
