name,vertices,faces,min_angle_deg,avg_min_angle_deg,max_angle_deg,avg_aspect_ratio,low_aspect_count,needle_like_count,cap_like_count,near_zero_area_count,bad_triangle_count
car1.off,48798,97536,0.725576,27.036833,177.288662,0.452941,118,1400,2,0,1400
car2.off,78708,157424,0.222889,23.265048,175.630927,0.398414,3122,11100,1,0,11100
car3.off,93450,186896,0.488342,21.931302,178.207672,0.373756,15418,23495,13,0,23495
car4.off,14317,28630,0.593133,18.761464,174.544086,0.317511,1612,4787,0,0,4787
car1_targeted_cleanup.off,48349,96638,4.636712,27.284655,166.418080,0.456966,0,4,0,0,4
car2_targeted_cleanup.off,73912,147832,0.786417,24.698921,174.109116,0.421853,24,85,0,0,85
car3_targeted_cleanup.off,84705,169406,0.141356,24.163270,179.470468,0.411354,4,162,43,0,162
car4_targeted_cleanup.off,12308,24612,0.951841,21.684287,176.498153,0.366275,0,5,1,0,5
