name,vertices,faces,min_angle_deg,avg_min_angle_deg,max_angle_deg,avg_aspect_ratio,low_aspect_count,needle_like_count,cap_like_count,near_zero_area_count,bad_triangle_count
car4.off,14317,28630,0.593133,18.761464,174.544086,0.317511,1612,4787,0,0,4787
car4_cleanup.off,12308,24612,0.951841,21.684287,176.498153,0.366275,0,5,1,0,5
